Cód Cidades,Cidades,UF,Já é atendido pela Loggi?,Distância de Cajamar (km),População 2018,área em KM2,Tem malha aerea?,Latitude,Longitude,IDH,Taxa de Homicídio
3304524,Rio das Ostras (RJ),RJ,nao,"603,05",141403,231,nao,-22.526944800000000,-41.94497200000000,"0,773","62,2"
3504107,Atibaia (SP),SP,nao,"66,31",139686,478,nao,-23.117739300000000,-46.554786100000000,"0,765","5,1"
4320008,Sapucaia do Sul (RS),RS,nao,1129,139481,59,nao,-29.819701900000000,-51.160872200000000,"0,726","50,4"
2606002,Garanhuns (PE),PE,nao,2432,138639,472,nao,-8.890588900000000,-36.493089600000000,"0,664","39,9"
2616407,Vitória de Santo Antão (PE),PE,nao,2616,137576,372,nao,-8.120901900000000,-35.294485800000000,"0,64","64,4"
4101804,Araucária (PR),PR,nao,"437,42",137490,469,nao,-25.586110700000000,-49.405120900000000,"0,74","43,6"
2513703,Santa Rita (PB),PB,nao,2788,136849,727,nao,-7.12846500000000,-34.984618600000000,"0,627","75,0"
3105608,Barbacena (MG),MG,nao,"527,64",136690,788,nao,-21.225452400000000,-43.773508700000000,"0,769","12,5"
2930709,Simões Filho (BA),BA,nao,1946,136094,192,nao,-12.786783900000000,-38.403036500000000,"0,675","107,7"
3156700,Sabará (MG),MG,nao,"599,81",135965,304,nao,-19.890037200000000,-43.810791600000000,"0,731","51,8"
5107909,Sinop (MT),MT,nao,2003,135934,3194,nao,-11.850822400000000,-55.517595700000000,"0,754","39,9"
4127700,Toledo (PR),PR,nao,"926,02",135564,1197,nao,-24.722243800000000,-53.740247600000000,"0,768","18,7"
4202008,Balneário Camboriú (SC),SC,nao,"616,17",135348,46,nao,-26.992439500000000,-48.633978200000000,"0,845","8,4"
3170701,Varginha (MG),MG,nao,"317,49",134374,396,nao,-21.556591400000000,-45.434067400000000,"0,778","6,7"
1502103,Cametá (PA),PA,nao,2778,134080,3081,nao,-2.24294900000000,-49.49788500000000,"0,577","20,4"
4101408,Apucarana (PR),PR,nao,"606,01",132693,558,nao,-23.552532700000000,-51.461076400000000,"0,748","19,8"
1100122,Ji-Paraná (RO),RO,nao,2638,132642,6897,nao,-10.877814800000000,-61.927785400000000,"0,714","38,0"
